HWFET	HWFET plus 15 idle seconds plus HWFET									
seconds	mph									
0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
2	0	0.2	0.4	0.6	0.8	1	1.2	1.4	1.6	1.8
3	2	2.29	2.58	2.87	3.16	3.45	3.74	4.03	4.32	4.61
4	4.9	5.22	5.54	5.86	6.18	6.5	6.82	7.14	7.46	7.78
5	8.1	8.42	8.74	9.06	9.38	9.7	10.02	10.34	10.66	10.98
6	11.3	11.62	11.94	12.26	12.58	12.9	13.22	13.54	13.86	14.18
7	14.5	14.78	15.06	15.34	15.62	15.9	16.18	16.46	16.74	17.02
8	17.3	17.53	17.76	17.99	18.22	18.45	18.68	18.91	19.14	19.37
9	19.6	19.82	20.04	20.26	20.48	20.7	20.92	21.14	21.36	21.58
10	21.8	22.02	22.24	22.46	22.68	22.9	23.12	23.34	23.56	23.78
11	24	24.18	24.36	24.54	24.72	24.9	25.08	25.26	25.44	25.62
12	25.8	25.93	26.06	26.19	26.32	26.45	26.58	26.71	26.84	26.97
13	27.1	27.19	27.28	27.37	27.46	27.55	27.64	27.73	27.82	27.91
14	28	28.1	28.2	28.3	28.4	28.5	28.6	28.7	28.8	28.9
15	29	29.1	29.2	29.3	29.4	29.5	29.6	29.7	29.8	29.9
16	30	30.07	30.14	30.21	30.28	30.35	30.42	30.49	30.56	30.63
17	30.7	30.78	30.86	30.94	31.02	31.1	31.18	31.26	31.34	31.42
18	31.5	31.57	31.64	31.71	31.78	31.85	31.92	31.99	32.06	32.13
19	32.2	32.27	32.34	32.41	32.48	32.55	32.62	32.69	32.76	32.83
20	32.9	32.96	33.02	33.08	33.14	33.2	33.26	33.32	33.38	33.44
21	33.5	33.56	33.62	33.68	33.74	33.8	33.86	33.92	33.98	34.04
22	34.1	34.15	34.2	34.25	34.3	34.35	34.4	34.45	34.5	34.55
23	34.6	34.63	34.66	34.69	34.72	34.75	34.78	34.81	34.84	34.87
24	34.9	34.92	34.94	34.96	34.98	35	35.02	35.04	35.06	35.08
25	35.1	35.16	35.22	35.28	35.34	35.4	35.46	35.52	35.58	35.64
26	35.7	35.72	35.74	35.76	35.78	35.8	35.82	35.84	35.86	35.88
27	35.9	35.89	35.88	35.87	35.86	35.85	35.84	35.83	35.82	35.81
28	35.8	35.75	35.7	35.65	35.6	35.55	35.5	35.45	35.4	35.35
