FTP.txt	UDDS plus first 505 seconds of UDDS									
seconds	mph									
0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0
20	0	0.3	0.6	0.9	1.2	1.5	1.8	2.1	2.4	2.7
21	3	3.29	3.58	3.87	4.16	4.45	4.74	5.03	5.32	5.61
22	5.9	6.17	6.44	6.71	6.98	7.25	7.52	7.79	8.06	8.33
23	8.6	8.89	9.18	9.47	9.76	10.05	10.34	10.63	10.92	11.21
24	11.5	11.78	12.06	12.34	12.62	12.9	13.18	13.46	13.74	14.02
25	14.3	14.56	14.82	15.08	15.34	15.6	15.86	16.12	16.38	16.64
26	16.9	16.94	16.98	17.02	17.06	17.1	17.14	17.18	17.22	17.26
27	17.3	17.38	17.46	17.54	17.62	17.7	17.78	17.86	17.94	18.02
28	18.1	18.36	18.62	18.88	19.14	19.4	19.66	19.92	20.18	20.44
29	20.7	20.8	20.9	21	21.1	21.2	21.3	21.4	21.5	21.6
30	21.7	21.77	21.84	21.91	21.98	22.05	22.12	22.19	22.26	22.33
31	22.4	22.41	22.42	22.43	22.44	22.45	22.46	22.47	22.48	22.49
32	22.5	22.46	22.42	22.38	22.34	22.3	22.26	22.22	22.18	22.14
33	22.1	22.04	21.98	21.92	21.86	21.8	21.74	21.68	21.62	21.56
34	21.5	21.44	21.38	21.32	21.26	21.2	21.14	21.08	21.02	20.96
35	20.9	20.85	20.8	20.75	20.7	20.65	20.6	20.55	20.5	20.45
36	20.4	20.34	20.28	20.22	20.16	20.1	20.04	19.98	19.92	19.86
